EventID,AssignmentID,SubjectID,EventType,EditType,X-CodeState,X-ElapsedTime,X-Intervene,X-Why,X-How
2300192,A79,S148,File.Edit,init,"import 'dart:io';

main() {
  
}
",0,,,
2300192,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  
}
",0,,,
2300193,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}
;",2,,,
2300194,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  
}

;",4,,,
2300206,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalasana;",7,,,
2300207,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalasana(;",8,,,
2300209,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalasana() ;",10,,,
2300210,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana() {;",11,,,
2300213,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalasana() {

};",12,,,
2300221,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {

};",95,,,
2300222,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  
};",97,,,
2300223,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kuinka monta lukua luetaan?');
  var lukuja = int.parse(stdin.readLineSync());
};",97,Y,logical,"<highlight parseInt> When accepting user input, remember to consider what type of input you are expecting. If it is an integer, parsing the input as an int makes sense. If the input is not an integer, you should leave it as a string."
2300241,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var lukuja = int.parse(stdin.readLineSync());
};",104,,,
2300242,A79,S148,File.Edit,delete,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var  = int.parse(stdin.readLineSync());
};",106,,,
2300250,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
};",107,D,semantic,"<highlight var> Watch out! If you define a variable with the same name as a parameter, you lose the value of the parameter."
2300252,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  
};",110,,,
2300255,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if 
};",124,,,
2300264,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if salasana 
};",127,,,
2300267,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if salasana == 
};",128,,,
2300274,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if salasana == 'oikea'
};",140,,,
2300277,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if {
    salasana == 'oikea'
};",152,,,
2300282,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if {
    salasana == 'oikea'
    }
};",155,,,
2300285,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if {
    salasana == 'oikea';
    
    }
};",166,,,
2300286,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if 
    salasana == 'oikea';
    
    }
};",173,,,
2300287,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea';
    
    }
};",174,,,
2300290,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    
    )
};",179,,,
2300291,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalas'ana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    
    )
};",209,,,
2300292,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    
    )
};",211,,,
2300293,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    p
    )
};",229,,,
2300294,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    pr
    )
};",229,,,
2300295,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    pri
    )
};",230,,,
2300296,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    prin
    )
};",230,,,
2300297,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print
    )
};",230,,,
2300299,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print
    )
};",232,,,
